lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
discipline;begrippenkader;6856753d-3be7-4d32-91d7-af922fb319b2;ea561c6e-def6-468b-a585-dc49faaff647;Tekenen en construeren;discipline
discipline;begrippenkader;fc862dc8-1dae-4c3d-92e9-a01aa48a0414;f1be21ef-4d0c-4510-8256-baf8bae4789d;Werken met representaties - lineaire formule opstellen;discipline
discipline;begrippenkader;77f346c5-0529-496f-850d-fdf5574d93f4;896a2c9b-ed1a-4975-a62e-cfd8b7b33b2c;Verbanden herkennen - lineair;discipline
discipline;begrippenkader;c0d284f5-e87e-40fc-93fc-37e51572cdec;31c3bbc5-9a01-44c1-a9fb-9051dd9125d4;Verbanden herkennen - kwadratisch;discipline
discipline;begrippenkader;25db0736-ea07-42cc-b004-2a4c3917664d;aed1908a-86dd-410b-be15-1fec11e3c372;Kwadratische vergelijkingen oplossen;discipline
discipline;begrippenkader;a022bb8a-af8e-42ce-9135-b5ce083b7068;aed1908a-86dd-410b-be15-1fec11e3c372;Kwadratische vergelijkingen oplossen;discipline
discipline;begrippenkader;12e931af-746d-4bd2-a0dd-5b445f5b3a8c;264cb4a8-a4f9-4af4-9159-538a060ee56b;Derde graads vergelijking oplossen;discipline
discipline;begrippenkader;a25262eb-b3b3-4167-b915-90f2fc524571;584a325a-568d-4721-b996-187209c06638;Verhoudingsvraagstukken;discipline
