lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;verzorging;3e1f23da-ab74-440d-a2e2-6856cd5c51a8;Verzorging;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;wiskunde;7afbb7a6-c29b-425c-9c59-6f79c845f5f0;Wiskunde;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;administratie;df874fdf-deb6-4b84-b0b1-7ab162fbe789;Administratie;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;agrarische%20bedrijfseconomie;ad7e37a9-fe80-4b2c-a130-12af95499137;Agrarische bedrijfseconomie;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;agrarische%20techniek;62aac92b-00ad-4d0c-8aec-98713cbfea25;Agrarische techniek;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;bloembinden%20en%20schikken;351cd58e-1ec2-4bac-8b6f-9dc555b1c96d;Bloembinden en -schikken;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;bouwtechniek%20-%20fijnhoutbewerking;37c5f10a-30a8-43b0-b2dd-60bf1721abcf;Bouwtechniek - fijnhoutbewerking;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;bouwtechniek%20-%20metselen;3f02457c-0944-4ec3-b519-9c0132cce73b;Bouwtechniek - metselen;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;bouwtechniek%20-%20schilderen;797704ac-6c19-4029-999d-41b5434770cf;Bouwtechniek - schilderen;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;bouwtechniek%20-%20timmeren;31926035-10da-4f58-bf5b-6ba6a8084f90;Bouwtechniek - timmeren;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;bouwtechniek%20breed;a0bc5d77-7231-46d0-8157-7d46f44c09a9;Bouw - breed;discipline
discipline;vdex_classification_vakaanduidingen_vo_20071115.xml;consumptief%20-%20bakken;ac42c9d5-7bcc-4769-862a-d9e83a075829;Consumptief - bakken;discipline
