lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
educational level;vdex_classification_educationallevel_czp_20060628.xml;SBaO;e05b5eb1-6a65-4f45-9556-79b25cd91da8;Speciaal basisonderwijs;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;SO;e7f1c08f-08fb-48ab-be8e-c131b1bce54a;Speciaal onderwijs;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;VVE;15d693b8-fbe1-4112-8135-4a20aba5101c;Voor- en vroegschoolse educatie;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;PO;512e4729-03a4-43a2-95ba-758071d1b725;Primair onderwijs;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;po_groep1;82ca4442-246c-44b3-a562-7b101793feb4;PO groep 1;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;po_groep2;c007e4dd-a3d4-4f33-902d-778e3bbeeddb;PO groep 2;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;po_groep3;25a2f4f4-cf91-4b16-94bc-6d9e6fad88f4;PO groep 3;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;po_groep4;5c072b3f-7f58-40ee-9799-27981f0a6b2b;PO groep 4;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;po_groep5;bc213214-b83d-4673-b9c1-8fdaa63d6d56;PO groep 5;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;po_groep6;abfb190f-e814-46f5-a9cc-ebd53f04018e;PO groep 6;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;po_groep7;a4813bb6-cf63-4594-af56-6afb321723d8;PO groep 7;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;po_groep8;95138558-9f65-4888-8ea3-8acce5eea273;PO groep 8;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;VO;2a1401e9-c223-493b-9b86-78f6993b1a8d;Voortgezet onderwijs;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo;c7942bb1-bf4f-409f-bc98-9a0b02f175dc;vmbo;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo1;50746437-08f3-4559-8af3-3fa6e05d1a44;VMBO basisberoepsgerichte leerweg, 1;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo1;12e85a55-b3ae-4e7f-a2a0-d645f4c573bf;VMBO gemengde leerweg, 1;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo1;8ae2af2d-890e-49d6-95cb-3619acb5c2cf;VMBO kaderberoepsgerichte leerweg, 1;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo1;54edd410-2315-4eb3-a573-0e1cd59184fd;VMBO theoretische leerweg, 1;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo2;9716fc83-479c-48da-be13-2fdd74e3b692;VMBO basisberoepsgerichte leerweg, 2;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo2;30ce6ff5-d654-4a97-a6d4-9c8936f87ca6;VMBO gemengde leerweg, 2;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo2;05d90293-e675-44f4-bcd7-1f67161f6734;VMBO kaderberoepsgerichte leerweg, 2;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo2;90a5a228-e8de-473d-84cc-a915bf6107dd;VMBO theoretische leerweg, 2;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_tl3;e51e6137-05d4-45ca-aed0-6e91551257d4;VMBO theoretische leerweg, 3;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_tl4;84f30df0-f194-435e-98c8-c4559756ec24;VMBO theoretische leerweg, 4;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_kb3;f61c889e-4731-4321-802d-c7e86081499c;VMBO kaderberoepsgerichte leerweg, 3;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_kb4;e72dacdd-968b-40ac-ad2c-8bd14c24e89f;VMBO kaderberoepsgerichte leerweg, 4;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_bb3;e56a05b1-a9af-432f-a7ac-b7401d8e95fb;VMBO basisberoepsgerichte leerweg, 3;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_bb4;45403807-f052-4e09-a95c-b2e1c10c6c89;VMBO basisberoepsgerichte leerweg, 4;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_gl3;49af771b-6d9e-4d8f-bcaf-ac9cc9ee753e;VMBO gemengde leerweg, 3;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_gl4;ee1eada7-7866-45e6-b1d8-b7062a8fe08a;VMBO gemengde leerweg, 4;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_po1;d6f1bbf7-c1a6-4431-bcbd-f33126d851ef;Praktijkonderwijs;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_po2;d6f1bbf7-c1a6-4431-bcbd-f33126d851ef;Praktijkonderwijs;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_po3;d6f1bbf7-c1a6-4431-bcbd-f33126d851ef;Praktijkonderwijs;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_po4;d6f1bbf7-c1a6-4431-bcbd-f33126d851ef;Praktijkonderwijs;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_p5;d6f1bbf7-c1a6-4431-bcbd-f33126d851ef;Praktijkonderwijs;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vmbo_p6;d6f1bbf7-c1a6-4431-bcbd-f33126d851ef;Praktijkonderwijs;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;havo;a3ddbe60-8478-4204-b769-6f5e9f4cbca2;HAVO;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;havo1;78f5cabe-6649-4dc3-84bf-36d82c6c2d31;HAVO, 1;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;havo2;eaa0c07f-193e-4be5-8dc6-a00bbfc7a446;HAVO, 2;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;havo3;af3ecd88-a654-4458-9c5b-1e1f7d09f463;HAVO, 3;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;havo_st;70af3752-c6ad-43d9-aa0c-9ff099931f8a;HAVO, 4;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;havo_st;cb61531d-61eb-4412-a52f-ca065ca37e39;HAVO, 5;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vwo;ad9872e5-edc4-4a62-9ee7-ba7daceba2e0;VWO;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vwo1;ac188375-0a1a-4984-ac80-14d04a086a19;VWO, 1;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vwo2;17da6976-2f1b-4214-a471-168f469d7e04;VWO, 2;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vwo3;b924d4ad-65a1-41dc-b704-c7786eb4aec0;VWO, 3;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vwo_st;e2026706-0829-4a4c-b726-9409b6f407e1;VWO, 4;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vwo_st;f2513775-3d54-423b-803b-15e06a8c89a8;VWO, 5;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;vwo_st;85d15c83-e2b4-4359-8475-a355591aaa1a;VWO, 6;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;HBO;be140797-803f-4b9e-81cc-5572c711e09c;Hoger beroepsonderwijs;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;WO;bbbd99c6-cf49-4980-baed-12388f8dcff4;Wetenschappelijk onderwijs;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;BVE;caa97efc-a713-41ea-a845-1534ca65eac9;Beroepsonderwijs en Volwasseneneducatie;educational level
educational level;vdex_classification_educationallevel_czp_20060628.xml;bedrijfsopleiding;a3c394bc-44a2-4afe-b7b4-044633b84121;Bedrijfsopleiding;educational level
