lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
skill level;vdex_classification_referentiekader_taal_en_rekenen_czp_2009.xml;1F;d5f99b58-31be-4ffc-89f4-9d7c65526879;1F;skill level
skill level;vdex_classification_referentiekader_taal_en_rekenen_czp_2009.xml;1S;86d05d5a-8dfa-422b-820c-50019985426d;1S;skill level
skill level;vdex_classification_referentiekader_taal_en_rekenen_czp_2009.xml;2F;5eac0434-a6fc-4499-9710-3d6b800973a3;2F;skill level
skill level;vdex_classification_referentiekader_taal_en_rekenen_czp_2009.xml;2S;fadc20aa-082e-4e80-8a83-830c4006f236;2S;skill level
skill level;vdex_classification_referentiekader_taal_en_rekenen_czp_2009.xml;3F;f1d56c9e-373a-4051-9ce9-81a01b812de7;3F;skill level
skill level;vdex_classification_referentiekader_taal_en_rekenen_czp_2009.xml;3S;2be1fbb4-d46f-44f8-9aff-d2bbf5108a18;3S;skill level
skill level;vdex_classification_referentiekader_taal_en_rekenen_czp_2009.xml;4F;5ec6d733-a3b2-46db-9d42-72b4be4f7750;4F;skill level
skill level;vdex_classification_referentiekader_taal_en_rekenen_czp_2009.xml;4S;7bae4f16-ed94-4739-9d42-d0842dee7c90;4S;skill level
